Rank,Country,Points,Confederation
191,American Samoa,871.61,OFC
192,Bhutan,870.81,AFC
193,Macau,858.03,AFC
194,Brunei Darussalam,857.73,AFC
195,São Tomé and Príncipe,855.44,CAF
196,Djibouti,853.58,CAF
197,Cayman Islands,850.06,CONCACAF
198,Pakistan,840.28,AFC
199,Somalia,839.17,CAF
200,Tonga,835.64,OFC
201,Timor-Leste,831,AFC
202,Gibraltar,820.26,UEFA
203,Guam,819.54,AFC
204,Seychelles,804.16,CAF
205,Turks and Caicos Islands,803.98,CONCACAF
206,Liechtenstein,797.7,UEFA
207,Bahamas,786.82,CONCACAF
208,US Virgin Islands,779.76,CONCACAF
209,British Virgin Islands,777.41,CONCACAF
210,Anguilla,760.25,CONCACAF
211,San Marino,721.2,UEFA
